Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R301,R302A,R302B,R302C,R303,R304A,R304B,R304C,R305A1,R305B,R305C,R306A,R306B,R306C,R306D,R307A,R308A,R308B1A,R308B1B,R308B1C,R308B1D,R308B1E,R308B2,R308B3,R309A,R309B,R309C,R402A,R402B1,R402B2,R402C,R403A,R403B,R403C1,R403C2,R404A,R404B1,R404B2,R404C,R501A1,R501A2,R501B,R502A,R502B,R503A1,R503A2,R503A3,R503A4,R503A5,R503A6,R503B,R503C,R504A1,R504A2,R504A3,R504A4,R504A5,R504B,R504C,R505A,R505B,R506,R507A,R507B,R508A,R508B,R508C1,R508C2,R508C3,R509AK2,R509AK3,R509AK4,R509AK5,R509B1K2,R509B1K3,R509B1K4,R509B1K5,R509B2K2,R509B2K3,R509B2K4,R509B2K5,R509B3K2,R509B3K3,R509B3K4,R509B3K5,R509B4K2,R509B4K3,R509B4K4,R509B4K5,R509B5K2,R509B5K3,R509B5K4,R509B5K5,R509B6K2,R509B6K3,R509B6K4,R509B6K5,R509B7K2,R509B7K3,R509B7K4,R509B8K2,R509B8K3,R509B8K4,R509B8K5,R509B9K2,R509B9K4,R509B9K5,R509B10K2,R509B10K4,R509B10K5,R510B,R510C1,R510C2,R510C3,R510D1,R510D2A,R510D2B,R510D2C,R510D3,R511A,R511B,R512A,R512B1,R512B2,R512B3,R513AK2,R513AK3,R513ALK3,R513AK4,R513BK2,R513BK3,R513BLK3,R513BK4,R513CK2,R513CK3,R513CLK3,R513CK4,R514A,R514B,R515,R516
62750,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,001,BARU TENGAH,2,1,32,12,1,1,1,54,1,3,2,1,2,1,1,1,1,1,4,6,8,1,1,1,3,,,3,,,2,6,,,,1,KAMPUNG SAYUR,0,3,8739,0,0,1,1,2,3,5,8,2,4,2,,1,4,5,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,2,4,5,2,3,0,1,27,1422,2491,1,2,,1,2,,,,2,,,,1,3,2,2
62751,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,002,MARGA SARI,2,1,45,12,1,1,1,32,1,3,2,1,2,1,1,1,1,1,4,6,8,2,1,1,3,,,3,,,2,4,,,,1,"AMPLANG, APAM",ASESORIS MANIK-MANIK,3,4635,0,0,1,1,2,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,1,2,,1,2,,,,2,,,,1,1,2,2
62752,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,003,BARU ILIR,2,1,22,1,1,1,1,63,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,1,AMPLANG,KERAJINAN TANGAN,3,7668,375,0,1,1,2,3,5,7,2,4,2,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,2,2,2
62753,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,004,MARGO MULYO,2,1,32,24,1,1,1,50,1,3,2,1,2,1,1,1,1,1,4,6,8,2,1,1,3,,,3,,,2,6,,,,1,0,BUAH MANGROVE,3,5085,245,0,1,1,2,3,5,8,1,4,3,4,1,4,6,7,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,3,3,0,1,16,200,220,1,2,,1,2,,,,2,,,,1,1,2,2
62754,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,005,BARU ULU,2,1,32,24,1,1,1,53,1,3,2,1,2,1,1,1,1,1,4,6,8,1,1,2,3,,,3,,,2,6,,,,1,AMPLANG DAN ROTI,0,3,8430,0,0,1,1,2,3,5,7,2,4,2,,1,3,5,7,2,1,1,1,1,2,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,14,220,260,1,2,,1,2,,,,2,,,,3,1,2,2
62755,64,KALIMANTAN TIMUR,71,BALIKPAPAN,050,BALIKPAPAN BARAT,006,KARIANGAU,2,1,23,24,1,1,1,13,8,3,2,1,2,1,1,1,1,1,4,6,8,1,1,2,3,,,2,,,2,6,,,,1,KEPITING SOKA,0,3,1991,80,24,1,1,2,3,5,7,1,4,2,4,1,3,5,8,2,1,1,1,1,1,2,4,1,2,,,,1,2,2,2,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,3,0,2,,,,1,2,,1,2,,,,1,2,,1,1,1,2,2
62729,64,KALIMANTAN TIMUR,71,BALIKPAPAN,011,BALIKPAPAN KOTA,001,PRAPATAN,2,1,35,5,1,1,1,38,3,3,2,1,2,1,1,1,1,2,4,6,7,2,2,,3,,,2,,,2,6,,,,2,,,,4853,530,0,1,1,2,3,5,8,2,4,2,,1,4,5,8,2,1,1,1,1,1,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62730,64,KALIMANTAN TIMUR,71,BALIKPAPAN,011,BALIKPAPAN KOTA,002,TELAGA SARI,2,1,30,3,1,1,1,47,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,4,,,,1,"KERUPUK BAWANG CINCIN, BAKSO, MIE",GARMEN TRISULA,2,7338,0,0,1,1,2,3,5,7,2,4,2,,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,2,2,1,2,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,,,,,,,,,,,1,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62731,64,KALIMANTAN TIMUR,71,BALIKPAPAN,011,BALIKPAPAN KOTA,003,KLANDASAN ULU,2,1,25,5,1,1,1,42,1,3,2,1,2,1,1,1,1,1,4,6,7,2,2,,3,,,3,,,2,4,,,,1,"AMPLANG, KERUPUK, KERIPIK SINGKONG, PISANG",0,3,6271,0,0,1,1,2,3,5,7,2,4,2,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,200,300,1,2,,1,2,,,,1,2,,2,1,1,2,2
62732,64,KALIMANTAN TIMUR,71,BALIKPAPAN,011,BALIKPAPAN KOTA,004,KLANDASAN ILIR,2,1,22,4,1,1,1,62,1,3,2,1,2,1,1,1,1,1,4,6,8,2,2,,3,,,3,,,2,7,,,,2,,,,10497,0,0,1,1,2,3,5,7,2,4,2,,1,4,5,8,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
