Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R1301A,R1301B1K2,R1301B1K3,R1301B1K4,R1301B1K5,R1301B2K2,R1301B2K3,R1301B2K4,R1301B2K5,R1301B3K2,R1301B3K3,R1301B3K4,R1301B3K5,R1301B4K2,R1301B4K3,R1301B4K4,R1301B4K5,R1301B5K2,R1301B5K3,R1301B5K4,R1301B5K5,R1301B6K2,R1301B6K3,R1301B6K4,R1301B6K5,R1301B7K2,R1301B7K3,R1301B7K4,R1301B7K5,R1302A,R1302B,R1303A01K3,R1303A01K4,R1303A02K3,R1303A02K4,R1303A03K3,R1303A03K4,R1303A04K3,R1303A04K4,R1303A05K3,R1303A05K4,R1303A06K3,R1303A06K4,R1303A07K3,R1303A07K4,R1303A08K3,R1303A08K4,R1303A09K3,R1303A09K4,R1303A10K3,R1303A10K4,R1303A11K3,R1303A11K4,R1303B,R1304A,R1304B,R1304C,R1304D,R1304E,R1305,R1306A,R1306B1,R1306B2,R1306C1,R1306C2,R1307,R1308A,R1308B,R1309,R1403A,R1403B,R1404B,R1404C,R1404D,R1404E,R1405A1,R1405A2K1,R1405A2K2,R1405B,R1405C,R1405D,R1406A,R1406B,R1407,R1601A1K2,R1601A1K3,R1601A1K4,R1601A1K5,R1601A2K2,R1601A2K3,R1601A2K4,R1601A2K5,R1601A3K2,R1601A3K3,R1601A3K4,R1601A3K5,R1601A4K2,R1601A4K3,R1601A4K4,R1601A4K5,R1601A5K2,R1601A5K3,R1601A5K4,R1601A5K5,R1601A6K2,R1601A6K3,R1601A6K4,R1601A6K5,R1601A7K2,R1601A7K3,R1601A7K4,R1601A7K5,R1601A8K2,R1601A8K3,R1601A8K4,R1601A8K5,R1601A9K2,R1601A9K3,R1601A9K4,R1601A9K5,R1601A10K2,R1601A10K3,R1601A10K4,R1601A10K5,R1601B1K2,R1601B1K3,R1601B1K4,R1601B1K5,R1601B2K2,R1601B2K3,R1601B2K4,R1601B2K5,R1601B3K2,R1601B3K3,R1601B3K4,R1601B3K5,R1601B4K2,R1601B4K3,R1601B4K4,R1601B4K5,R1601B5K2,R1601B5K3,R1601B5K4,R1601B5K5,R1601B6K2,R1601B6K3,R1601B6K4,R1601B6K5,R1601B7K2,R1601B7K3,R1601B7K4,R1601B7K5,R1601B8K2,R1601B8K3,R1601B8K4,R1601B8K5,R1601B9K2,R1601B9K3,R1601B9K4,R1601B9K5,R1601B10K2,R1601B10K3,R1601B10K4,R1601B10K5,R1701AK2,R1701AK3,R1701AK4,R1701AK5,R1701BK2,R1701BK3,R1701BK4,R1701BK5,R1702A,R1702B,R1702C,R1702D
62130,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,001,SEI MERDEKA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,1,2,1,2,1,1,2,,2,,1,1,3,5,7,1,10,1,1,0,,,1,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,2,,,,1,1,8,8,1,1,8,8,2,,,,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,1,1,8,8,,,,,2,,,,1,45,1,7,8,4,28,15
62131,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,002,SALOK API DARAT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,6,1,3,6,8,1,18,2,,,3.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,48,1,8,1,52,1,7,1,3,10,36
62132,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,003,TANI BAKTI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,1,10,2,,,5.00,2,0,2,4,2,1,1,1,1,1,2,1,2014,2019,3,10,1,2,4,1,1,1,8,8,2,,,,2,,,,1,8,8,8,2,,,,1,8,8,8,1,8,8,8,2,,,,2,,,,1,8,8,8,1,8,8,8,2,,,,1,1,16,8,2,,,,2,,,,1,4,8,8,2,,,,1,8,4,4,1,8,4,4,2,,,,1,35,1,5,1,42,1,7,3,4,11,14
62133,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,004,SALOK API LAUT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,2,16,2,,,12.00,2,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,2,,,,1,53,1,8,1,2,7,24
62134,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,005,AMBARAWANG DARAT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,1,3,6,7,1,10,2,,,10.00,1,0,2,4,2,,,,,,,,,,,,,,,,1,1,16,8,2,,,,1,4,8,8,2,,,,1,4,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,1,4,8,8,2,,,,,,,,1,55,1,7,1,53,1,8,8,2,12,10
62135,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,006,ARGOSARI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,1,3,6,7,1,10,2,,,10.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,1,4,8,8,2,,,,2,,,,2,,,,1,4,8,8,2,,,,1,1,8,8,1,4,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,1,4,8,8,2,,,,,,,,1,51,1,8,1,56,1,8,10,3,5,10
62136,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,007,AMBARAWANG LAUT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,1,1,3,6,7,1,15,2,,,7.00,2,0,2,4,2,,,,,,,,,,,,,,,,1,1,8,8,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,2,,,,1,1,8,8,2,,,,2,,,,1,1,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,,,,,2,,,,2,,,,0,3,7,27
62137,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,008,MARGOMULYO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,1,1,2,,2,,1,1,1,1,2,,2,,2,,1,2,3,5,7,1,16,2,,,4.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,1,1,16,40,2,,,,1,1,4,1,1,4,4,8,2,,,,2,,,,1,4,8,8,1,1,8,8,1,1,8,8,1,4,8,8,2,,,,2,,,,1,1,8,8,2,,,,1,4,8,8,1,4,8,8,1,4,8,8,,,,,1,44,1,7,1,51,1,8,9,3,6,16
62138,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,009,KARYA JAYA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,1,3,6,7,1,10,2,,,1.00,2,0,2,4,2,1,1,1,1,3,2,1,2017,2022,3,8,1,2,4,2,1,1,8,8,2,,,,2,,,,1,1,8,8,1,1,8,8,2,,,,1,1,8,8,2,,,,2,,,,1,1,32,32,1,1,8,8,2,,,,2,,,,2,,,,1,1,32,32,2,,,,2,,,,1,1,8,8,1,1,8,8,1,1,8,8,1,48,1,7,1,37,2,5,1,4,10,15
62139,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,010,TANJUNG HARAPAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,1,1,4,6,7,2,10,2,,,1.00,2,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,39,1,8,1,55,2,7,2,4,11,10
